Url,Image,Name,Price
https://diwanegypt.com/product/betting-on-you-how-to-put-yourself-first-and-finally-take/,https://diwanegypt.com/wp-content/uploads/2024/11/9781250838377-450x600.jpg,Betting on You: How to Put Yourself First and (Finally) Take,"EGP1,020.00"
https://diwanegypt.com/product/hello-sleep-the-science-and-art-of-overcoming-insomnia-with/,https://diwanegypt.com/wp-content/uploads/2024/11/9781250347428-450x600.jpg,Hello Sleep: The Science and Art of Overcoming Insomnia With,"EGP1,130.00"
https://diwanegypt.com/product/tarot-of-the-witches-deck-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9780913866535-450x600.jpg,Tarot of the Witches Deck (78-Card Deck & Guidebook),"EGP1,320.00"
https://diwanegypt.com/product/cosmic-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/06/9780880793957-450x600.jpg,Cosmic Tarot (78-Card Deck & Guidebook),"EGP1,620.00"
https://diwanegypt.com/product/a-1000-x-better-a-rebel-by-design-interiors-by-kirsten-bl/,https://diwanegypt.com/wp-content/uploads/2024/11/9780847899609-450x600.jpg,A 1000 X Better: A Rebel by Design * Interiors by Kirsten Bl,"EGP3,300.00"
https://diwanegypt.com/product/the-perfect-room-timeless-designs-for-intentional-living/,https://diwanegypt.com/wp-content/uploads/2024/11/9780847837533-450x600.jpg,The Perfect Room: Timeless Designs for Intentional Living,"EGP3,300.00"
https://diwanegypt.com/product/at-home-in-france-inspiration-and-style-in-town-and-country/,https://diwanegypt.com/wp-content/uploads/2024/11/9780847829262-450x600.jpg,At Home in France: Inspiration and Style in Town and Country,"EGP3,900.00"
https://diwanegypt.com/product/the-legend-of-sleepy-hollow-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764368639-450x600.jpg,The Legend of Sleepy Hollow Tarot (78-Card Deck & Guidebook),"EGP1,800.00"
https://diwanegypt.com/product/the-flowerwise-oracle-empowerment-through-the-ancient-wisdo/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764367694-450x600.jpg,The Flowerwise Oracle: Empowerment through the Ancient Wisdo,"EGP1,800.00"
https://diwanegypt.com/product/angels-of-healing-and-hope-oracle-44-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764364563-450x600.jpg,Angels of Healing and Hope Oracle (44-Card Deck & Guidebook),"EGP1,500.00"
https://diwanegypt.com/product/celestial-frequencies-oracle-cards-and-healing-activators/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764363726-450x600.jpg,Celestial Frequencies: Oracle Cards and Healing Activators,"EGP2,100.00"
https://diwanegypt.com/product/a-christmas-tarot-ghosts-of-past-present-and-future-22-c/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764355684-450x600.jpg,"A Christmas Tarot: Ghosts of Past, Present, and Future (22-C","EGP1,500.00"
https://diwanegypt.com/product/beautiful-creatures-tarot-2nd-ed-80-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2022/07/9780764353314-450x600.jpg,Beautiful Creatures Tarot (2nd Ed.)(80-Card Deck & Guidebook,"EGP2,100.00"
https://diwanegypt.com/product/lowbrow-tarot-major-arcana-cards-22-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9780764342356-450x600.jpg,Lowbrow Tarot: Major Arcana Cards (22-Card Deck & Guidebook),"EGP1,130.00"
https://diwanegypt.com/product/the-halloween-forever-oracle-42-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9780738780252-450x600.jpg,The Halloween Forever Oracle (42-Card Deck & Guidebook),"EGP1,740.00"
